TIME,F21       ,V21       ,DP21      ,SGEN21    ,A21       
SECONDS,LBM/S,FT/S,PSIA,BTU/R-Sec,In2
0.660000E+01,0.174559E-01,0.103386E+04,0.819114E+02,0.000000E+00,0.785000E-02
0.670000E+01,0.174482E-01,0.103378E+04,0.818612E+02,0.000000E+00,0.785000E-02
0.680000E+01,0.174406E-01,0.103370E+04,0.818111E+02,0.000000E+00,0.785000E-02
0.690000E+01,0.174329E-01,0.103361E+04,0.817609E+02,0.000000E+00,0.785000E-02
0.700000E+01,0.174253E-01,0.103353E+04,0.817108E+02,0.000000E+00,0.785000E-02
0.710000E+01,0.174177E-01,0.103344E+04,0.816608E+02,0.000000E+00,0.785000E-02
0.720000E+01,0.174100E-01,0.103336E+04,0.816107E+02,0.000000E+00,0.785000E-02
0.730000E+01,0.174024E-01,0.103328E+04,0.815607E+02,0.000000E+00,0.785000E-02
0.740000E+01,0.173948E-01,0.103319E+04,0.815107E+02,0.000000E+00,0.785000E-02
0.750000E+01,0.173872E-01,0.103311E+04,0.814608E+02,0.000000E+00,0.785000E-02
0.760000E+01,0.173796E-01,0.103303E+04,0.814108E+02,0.000000E+00,0.785000E-02
0.770000E+01,0.173719E-01,0.103294E+04,0.813610E+02,0.000000E+00,0.785000E-02
0.780000E+01,0.173643E-01,0.103286E+04,0.813111E+02,0.000000E+00,0.785000E-02
0.790000E+01,0.173567E-01,0.103277E+04,0.812613E+02,0.000000E+00,0.785000E-02
0.800000E+01,0.173491E-01,0.103269E+04,0.812115E+02,0.000000E+00,0.785000E-02
0.810000E+01,0.173415E-01,0.103261E+04,0.811617E+02,0.000000E+00,0.785000E-02
0.820000E+01,0.173339E-01,0.103252E+04,0.811120E+02,0.000000E+00,0.785000E-02
0.830000E+01,0.173264E-01,0.103244E+04,0.810622E+02,0.000000E+00,0.785000E-02
0.840000E+01,0.173188E-01,0.103236E+04,0.810126E+02,0.000000E+00,0.785000E-02
0.850000E+01,0.173112E-01,0.103227E+04,0.809629E+02,0.000000E+00,0.785000E-02
0.860000E+01,0.173036E-01,0.103219E+04,0.809133E+02,0.000000E+00,0.785000E-02
0.870000E+01,0.172960E-01,0.103210E+04,0.808637E+02,0.000000E+00,0.785000E-02
0.880000E+01,0.172885E-01,0.103202E+04,0.808141E+02,0.000000E+00,0.785000E-02
0.890000E+01,0.172809E-01,0.103194E+04,0.807646E+02,0.000000E+00,0.785000E-02
0.900000E+01,0.172733E-01,0.103185E+04,0.807151E+02,0.000000E+00,0.785000E-02
0.910000E+01,0.172658E-01,0.103177E+04,0.806656E+02,0.000000E+00,0.785000E-02
0.920000E+01,0.172582E-01,0.103169E+04,0.806162E+02,0.000000E+00,0.785000E-02
0.930000E+01,0.172507E-01,0.103160E+04,0.805668E+02,0.000000E+00,0.785000E-02
0.940000E+01,0.172431E-01,0.103152E+04,0.805174E+02,0.000000E+00,0.785000E-02
0.950000E+01,0.172356E-01,0.103143E+04,0.804680E+02,0.000000E+00,0.785000E-02
0.960000E+01,0.172281E-01,0.103135E+04,0.804187E+02,0.000000E+00,0.785000E-02
0.970000E+01,0.172205E-01,0.103127E+04,0.803694E+02,0.000000E+00,0.785000E-02
0.980000E+01,0.172130E-01,0.103118E+04,0.803201E+02,0.000000E+00,0.785000E-02
0.990000E+01,0.172055E-01,0.103110E+04,0.802709E+02,0.000000E+00,0.785000E-02
0.100000E+02,0.171980E-01,0.103102E+04,0.802217E+02,0.000000E+00,0.785000E-02
0.101000E+02,0.171904E-01,0.103093E+04,0.801725E+02,0.000000E+00,0.785000E-02
0.102000E+02,0.171829E-01,0.103085E+04,0.801234E+02,0.000000E+00,0.785000E-02
0.103000E+02,0.171754E-01,0.103077E+04,0.800742E+02,0.000000E+00,0.785000E-02
0.104000E+02,0.171679E-01,0.103068E+04,0.800252E+02,0.000000E+00,0.785000E-02
0.105000E+02,0.171604E-01,0.103060E+04,0.799761E+02,0.000000E+00,0.785000E-02
