TIME,F21       ,V21       ,DP21      ,SGEN21    ,A21       
SECONDS,KG/S,M/S,kPa,KJ/K-S,M^2
0.660000E+01,0.791739E-02,0.315117E+03,0.564790E+03,0.000000E+00,0.506451E-05
0.670000E+01,0.791392E-02,0.315092E+03,0.564444E+03,0.000000E+00,0.506451E-05
0.680000E+01,0.791045E-02,0.315066E+03,0.564098E+03,0.000000E+00,0.506451E-05
0.690000E+01,0.790699E-02,0.315041E+03,0.563753E+03,0.000000E+00,0.506451E-05
0.700000E+01,0.790352E-02,0.315015E+03,0.563407E+03,0.000000E+00,0.506451E-05
0.710000E+01,0.790006E-02,0.314989E+03,0.563062E+03,0.000000E+00,0.506451E-05
0.720000E+01,0.789660E-02,0.314964E+03,0.562717E+03,0.000000E+00,0.506451E-05
0.730000E+01,0.789314E-02,0.314938E+03,0.562372E+03,0.000000E+00,0.506451E-05
0.740000E+01,0.788968E-02,0.314913E+03,0.562028E+03,0.000000E+00,0.506451E-05
0.750000E+01,0.788622E-02,0.314887E+03,0.561683E+03,0.000000E+00,0.506451E-05
0.760000E+01,0.788277E-02,0.314862E+03,0.561339E+03,0.000000E+00,0.506451E-05
0.770000E+01,0.787932E-02,0.314836E+03,0.560995E+03,0.000000E+00,0.506451E-05
0.780000E+01,0.787587E-02,0.314811E+03,0.560652E+03,0.000000E+00,0.506451E-05
0.790000E+01,0.787242E-02,0.314785E+03,0.560308E+03,0.000000E+00,0.506451E-05
0.800000E+01,0.786897E-02,0.314759E+03,0.559965E+03,0.000000E+00,0.506451E-05
0.810000E+01,0.786553E-02,0.314734E+03,0.559622E+03,0.000000E+00,0.506451E-05
0.820000E+01,0.786208E-02,0.314708E+03,0.559279E+03,0.000000E+00,0.506451E-05
0.830000E+01,0.785864E-02,0.314683E+03,0.558936E+03,0.000000E+00,0.506451E-05
0.840000E+01,0.785520E-02,0.314657E+03,0.558593E+03,0.000000E+00,0.506451E-05
0.850000E+01,0.785176E-02,0.314632E+03,0.558251E+03,0.000000E+00,0.506451E-05
0.860000E+01,0.784833E-02,0.314606E+03,0.557909E+03,0.000000E+00,0.506451E-05
0.870000E+01,0.784489E-02,0.314581E+03,0.557567E+03,0.000000E+00,0.506451E-05
0.880000E+01,0.784146E-02,0.314555E+03,0.557225E+03,0.000000E+00,0.506451E-05
0.890000E+01,0.783803E-02,0.314530E+03,0.556884E+03,0.000000E+00,0.506451E-05
0.900000E+01,0.783460E-02,0.314504E+03,0.556543E+03,0.000000E+00,0.506451E-05
0.910000E+01,0.783117E-02,0.314479E+03,0.556202E+03,0.000000E+00,0.506451E-05
0.920000E+01,0.782775E-02,0.314453E+03,0.555861E+03,0.000000E+00,0.506451E-05
0.930000E+01,0.782433E-02,0.314428E+03,0.555520E+03,0.000000E+00,0.506451E-05
0.940000E+01,0.782090E-02,0.314402E+03,0.555180E+03,0.000000E+00,0.506451E-05
0.950000E+01,0.781748E-02,0.314377E+03,0.554839E+03,0.000000E+00,0.506451E-05
0.960000E+01,0.781406E-02,0.314351E+03,0.554499E+03,0.000000E+00,0.506451E-05
0.970000E+01,0.781065E-02,0.314326E+03,0.554159E+03,0.000000E+00,0.506451E-05
0.980000E+01,0.780723E-02,0.314301E+03,0.553820E+03,0.000000E+00,0.506451E-05
0.990000E+01,0.780382E-02,0.314275E+03,0.553480E+03,0.000000E+00,0.506451E-05
0.100000E+02,0.780041E-02,0.314250E+03,0.553141E+03,0.000000E+00,0.506451E-05
0.101000E+02,0.779700E-02,0.314224E+03,0.552802E+03,0.000000E+00,0.506451E-05
0.102000E+02,0.779359E-02,0.314199E+03,0.552463E+03,0.000000E+00,0.506451E-05
